,avg_block_size,avg_trx_cost,confirmation_time,difficulty,hash_rate,market_cap,price_usd,total_block_size,total_miner_revenue,total_supply,total_trx_fees,trade_volume,transactions,trx_cost_percent,trx_per_block,trx_volume,unique_addresses
2016-08-09,0.8814759040000001,4.23351220494,12.7,201893210853.0,1254520.74349,9548313985.0,588.7753875,78493.21049099999,949947.25,15805850.0,75.28966453,15780612.3337,233704.0,0.649838873722,1869.632,252030.115581,393099.0
2016-08-10,0.8311269013160001,4.73658785751,8.11666666667,201893210853.0,1525497.2240799998,9306805453.12,592.1899,78619.54178,1123923.75,15807737.5,75.73839938,34991566.0798,245581.0,0.6655438578689999,1615.66447368,296860.736677,417668.0
2016-08-11,0.860473213333,4.54467676563,9.73333333333,201893210853.0,1505424.89218,9354231524.0,589.24185,78748.612762,1115316.8,15809612.5,79.92226711,26073725.3436,254515.0,0.6173599095960001,1696.76666667,316658.44132800004,408263.0
2016-08-12,0.805274221477,4.85031159477,8.73333333333,201893210853.0,1495388.72624,9241807137.5,587.7556,78868.598621,1093307.25,15811475.0,70.76200713,15437752.0763,232973.0,0.746223020601,1563.57718121,259072.951887,389496.0
2016-08-13,0.667146262195,5.67458238766,8.21666666667,201893210853.0,1645931.21545,9223231165.62,586.4345375,78978.01060800001,1197995.5,15813512.5,63.74667089,11882577.7207,217257.0,1.17132680629,1324.73780488,180457.465802,367024.0
2016-08-14,0.636927164634,5.98842285283,7.25,201893210853.0,1645931.21545,8995884840.0,570.976414286,79082.466663,1167746.4,15815550.0,61.70866834,15817470.2745,200577.0,1.0338721378,1223.0304878,204252.40135,360393.0
2016-08-15,0.8097697328769999,5.27728920385,7.833333333330001,203483855227.0,1577645.9033700002,8945200083.75,570.142225,79200.693044,1035485.43,15817375.0,68.34053066,19039255.2067,202896.0,0.8873227375020001,1389.69863014,213376.762551,384259.0
2016-08-16,0.920649477941,4.00766654665,10.5666666667,217375482757.0,1469587.9647899999,9111780000.0,581.1185875,79325.901373,984960.0,15819062.5,84.29524807,20633789.3317,256447.0,0.562771230519,1885.63970588,317055.16403600003,413844.0
2016-08-17,0.949801211382,3.87117207812,11.3666666667,217375482757.0,1329112.6446200002,9046693698.0,575.518,79442.726922,883763.265,15820600.0,73.73160399,21788909.8515,238003.0,0.566388659916,1934.98373984,284474.55219699995,394403.0
2016-08-18,0.798859012987,4.7820696928699995,8.15,217375482757.0,1664092.25424,9055705733.25,576.0360875,79565.75121,1105741.56,15822525.0,76.47075341,24259885.2055,239541.0,0.808525763461,1555.46103896,247545.699081,405409.0
2016-08-19,0.790802331169,4.67211650741,9.05,217375482757.0,1664092.25424,9071049473.5,576.657075,79687.534769,1108626.82,15824450.0,80.79961253,15567926.1355,246095.0,0.732877421751,1598.01948052,273688.280332,403011.0
2016-08-20,0.715836730769,5.562982380619999,7.36666666667,217375482757.0,1685703.84196,9205418289.38,583.2078625,79799.205299,1134217.5,15826387.5,61.83610372,16537121.8294,210352.0,1.02943630611,1348.41025641,195430.848103,400866.0
2016-08-21,0.6149099263800001,6.55357234018,6.81666666667,217375482757.0,1761344.39897,9185393311.75,582.821675,79899.435617,1182381.625,15828425.0,50.66277505,15404607.043,184904.0,1.5299556301600001,1134.3803681,136485.185183,357816.0
2016-08-22,0.786219352201,5.25520076981,7.083333333330001,217375482757.0,1718121.2235400002,9309383328.0,588.9727625,80024.44449400001,1168789.125,15830400.0,66.08272332,19463587.5994,229801.0,0.821706525115,1445.28930818,249916.808563,409008.0
2016-08-23,0.828971619048,4.6553504822,8.683333333330001,217375482757.0,1588451.6972299998,9246976634.25,586.18515,80146.303322,1074378.37,15832237.5,67.65790776,19520117.2746,239021.0,0.672919601386,1625.99319728,283118.20666799997,398308.0
2016-08-24,0.757869535948,4.82344585518,7.4,217375482757.0,1653286.4603799998,9186966577.5,582.8479875,80262.257361,1110792.9,15834137.5,65.72799365,17189751.0522,237956.0,0.730320222629,1555.26797386,270871.315398,409928.0
2016-08-25,0.868055792308,4.16907113477,9.88333333333,217375482757.0,1404753.20163,9143727625.12,579.86365,80375.104614,940023.48,15835762.5,64.61425534,18023876.4086,234009.0,0.692679844182,1800.06923077,243924.270286,390942.0
2016-08-26,0.8444123409090001,4.36488976334,8.96666666667,217375482757.0,1426364.78935,9154182799.12,581.07245,80486.56704299999,953716.5,15837412.5,62.44953714,12305907.4243,226767.0,0.798523580407,1717.93181818,214451.968503,383173.0
2016-08-27,0.6869025972220001,5.517156660580001,8.7,217375482757.0,1556034.31566,9000157326.75,571.5419875,80585.481017,1024500.66,15839212.5,55.47429433,11038371.1521,191098.0,1.09494225977,1327.06944444,169458.64293499998,364840.0
2016-08-28,0.608527717105,6.4149549627999995,7.3,217375482757.0,1642480.6665299998,9098184553.25,576.534,80677.97722999999,1091820.34,15841112.5,48.91366874,6969155.03567,174489.0,1.3587917719,1147.95394737,143429.899198,330360.0
2016-08-29,0.80892204698,4.91628743492,7.333333333330001,218441791495.0,1635101.52309,9106383600.25,575.2244125,80798.50661499999,1070546.375,15842975.0,64.37949671,13006720.3398,225282.0,0.767718238856,1511.95973154,250987.849342,386989.0
2016-08-30,0.784125575758,4.8473599708499995,7.983333333330001,220755908330.0,1810682.8946900002,9173160323.25,578.616575,80927.887335,1194622.055,15845025.0,68.30208236,15352375.3249,254486.0,0.8058584704170001,1542.33939394,264413.933784,419511.0
2016-08-31,0.8358813555560001,4.44222845926,8.55,220755908330.0,1481467.82293,9105038419.0,574.8279375,81040.73131799999,970161.445,15846700.0,62.71033455,15333990.4956,226377.0,0.6205235032649999,1676.86666667,282053.834438,392551.0
2016-09-01,0.846241659574,4.3852480495699995,8.01666666667,220755908330.0,1547310.8372799999,9065313400.0,572.818375,81160.051392,1008150.0,15848450.0,63.71815060000001,14999479.5484,238207.0,0.650390781303,1689.41134752,280787.828348,384065.0
2016-09-02,0.726650849673,5.0592588764899995,6.966666666669999,220755908330.0,1678996.8659899998,9194478279.0,576.2180000000001,81271.228972,1109403.0,15850362.5,57.33859607,15043105.5666,225856.0,0.8526712022920001,1476.18300654,231019.71671799998,389622.0
2016-09-03,0.7699421825399999,5.43909082167,10.383333333300001,220755908330.0,1382703.3014,9658268480.0,600.8860875,81368.241687,959616.0,15851937.5,51.54954056,40400922.2543,182204.0,0.927466758363,1446.06349206,175375.50816700002,358536.0
2016-09-04,0.5793554972070001,7.667449347000001,6.033333333330001,220755908330.0,1964316.59485,9752220126.0,610.59875,81471.94632100001,1376331.0,15854175.0,46.63006916,22587938.8404,183244.0,1.2340913794,1023.70949721,185085.97558499998,347566.0
2016-09-05,0.880298857143,4.87632952732,9.96666666667,220755908330.0,1536337.00156,9709692792.25,608.10975,81595.188161,1072259.87,15855925.0,63.04984857,22519218.6253,227683.0,0.6972274471529999,1626.30714286,260037.07340700002,422792.0
